session,level,subject,articles,citations,hindex,real_articles,real_citations,real_hindex,threshold_articles,threshold_citations,threshold_hindex
1,2,01-A1,2,16,2,3,52,4,5,36,3
1,2,01-A1,1,62,4,15,273,9,5,36,3
1,2,01-A1,0,2,1,4,6,2,1,2,0
1,2,01-A1,4,27,3,4,37,4,5,36,3
1,2,01-A1,1,1,1,14,29,3,5,36,3
1,2,01-A1,14,98,6,24,334,11,5,36,3
1,2,01-A1,0,0,0,1,0,0,1,2,0
1,2,01-A1,8,78,5,11,122,6,5,36,3
1,2,01-A1,6,3,1,6,4,1,1,2,0
1,2,01-A1,8,17,3,9,32,4,5,36,3
1,2,01-A1,3,9,2,4,14,2,1,2,0
2,2,01-A1,4,15,2,8,167,7,5,36,3
2,2,01-A1,0,1,1,1,9,2,1,2,0
2,2,01-A1,1,2,1,4,5,1,1,2,0
2,2,01-A1,0,0,0,2,11,2,1,2,0
2,2,01-A1,6,12,3,6,5,2,1,2,0
2,2,01-A1,3,18,3,7,42,3,5,36,3
2,2,01-A1,2,9,2,3,7,2,1,2,0
2,2,01-A1,3,53,5,3,61,4,5,36,3
3,2,01-A1,17,1,1,18,129,8,5,36,3
3,2,01-A1,9,104,6,9,265,9,5,36,3
3,2,01-A1,1,0,0,2,4,1,1,2,0
3,2,01-A1,1,1,1,1,1,1,1,2,0
3,2,01-A1,1,0,0,1,1,1,1,2,0
4,2,01-A1,4,46,4,5,76,5,5,36,3
4,2,01-A1,0,9,2,3,43,4,5,36,3
4,2,01-A1,4,18,2,7,13,2,5,36,3
4,2,01-A1,11,188,7,10,359,10,5,36,3
4,2,01-A1,9,19,2,9,33,4,5,36,3
4,2,01-A1,16,10,2,17,20,3,5,36,3
4,2,01-A1,4,23,3,5,56,3,5,36,3
4,2,01-A1,5,3,1,8,17,3,5,36,3
4,2,01-A1,4,14,2,7,53,5,5,36,3
4,2,01-A1,0,1,1,2,3,1,1,2,0
5,2,01-A1,5,32,4,7,136,7,5,36,3
5,2,01-A1,13,18,3,19,23,3,1,2,0
5,2,01-A1,1,1,1,2,2,1,1,2,0
5,2,01-A1,3,3,1,3,2,1,1,2,0
5,2,01-A1,10,14,2,13,89,6,5,36,3
5,2,01-A1,4,0,0,4,4,1,1,2,0
5,2,01-A1,1,2,1,1,0,0,1,2,0
5,2,01-A1,2,70,5,4,155,7,5,36,3
5,2,01-A1,2,11,3,9,89,6,1,2,0
5,2,01-A1,1,1,1,2,4,1,1,2,0
5,2,01-A1,6,10,2,7,25,3,1,2,0
5,2,01-A1,5,97,5,5,133,7,5,36,3
5,2,01-A1,0,7,1,2,2,1,1,2,0
5,2,01-A1,3,2,1,2,5,2,5,36,3
5,2,01-A1,4,28,3,8,244,8,5,36,3
5,2,01-A1,5,15,2,7,20,3,5,36,3
5,2,01-A1,2,2,1,2,0,0,1,2,0
5,2,01-A1,1,0,0,2,8,2,1,2,0
5,2,01-A1,5,143,7,6,175,6,5,36,3
5,2,01-A1,1,2,1,1,0,0,1,2,0
5,2,01-A1,8,83,6,10,129,7,5,36,3
5,2,01-A1,2,5,1,3,4,1,1,2,0
5,2,01-A1,2,0,0,7,27,3,5,36,3
5,2,01-A1,3,6,2,1,0,0,1,2,0
5,2,01-A1,1,1,1,1,8,1,1,2,0
5,2,01-A1,2,4,1,2,4,1,1,2,0
5,2,01-A1,11,14,2,10,24,3,5,36,3
5,2,01-A1,0,0,0,0,0,0,1,2,0
5,2,01-A1,0,68,4,6,47,3,5,36,3
5,2,01-A1,1,14,1,1,13,2,1,2,0
5,2,01-A1,7,95,5,18,151,6,5,36,3
5,2,01-A1,2,41,4,6,72,5,5,36,3
5,2,01-A1,10,16,3,10,14,3,5,36,3
5,2,01-A1,3,69,5,7,214,10,5,36,3
5,2,01-A1,1,0,0,1,0,0,1,2,0
1,2,01-A2,14,30,3,19,63,5,4,15,2
1,2,01-A2,5,58,3,6,67,5,4,15,2
1,2,01-A2,8,11,2,11,25,3,3,10,2
1,2,01-A2,1,1,1,10,21,3,4,15,2
1,2,01-A2,0,105,5,2,134,6,4,15,2
1,2,01-A2,3,2,1,5,15,2,4,15,2
1,2,01-A2,8,1,1,12,15,2,4,15,2
1,2,01-A2,1,0,0,5,27,2,4,15,2
1,2,01-A2,4,12,2,8,10,2,4,15,2
1,2,01-A2,11,37,3,12,31,4,3,10,2
1,2,01-A2,9,27,3,11,40,5,3,10,2
1,2,01-A2,9,57,4,10,65,5,4,15,2
1,2,01-A2,4,40,4,4,57,5,4,15,2
1,2,01-A2,10,65,5,8,45,5,4,15,2
1,2,01-A2,6,10,2,8,17,2,4,15,2
1,2,01-A2,6,3,1,6,11,2,4,15,2
1,2,01-A2,5,3,1,3,16,3,4,15,2
1,2,01-A2,3,9,2,5,10,2,4,15,2
1,2,01-A2,6,11,2,9,22,3,3,10,2
1,2,01-A2,31,87,5,34,124,7,4,15,2
1,2,01-A2,2,11,2,0,29,3,3,10,2
1,2,01-A2,5,8,2,5,19,3,4,15,2
1,2,01-A2,4,1,1,5,15,2,4,15,2
1,2,01-A2,3,8,2,4,19,3,4,15,2
1,2,01-A2,1,2,1,6,9,1,4,15,2
1,2,01-A2,3,54,3,7,86,6,4,15,2
1,2,01-A2,5,3,1,5,21,3,4,15,2
1,2,01-A2,2,7,1,2,10,2,4,15,2
1,2,01-A2,1,0,0,12,49,4,4,15,2
1,2,01-A2,5,17,3,7,43,4,3,10,2
1,2,01-A2,2,4,1,10,30,4,4,15,2
1,2,01-A2,9,9,2,12,42,4,4,15,2
1,2,01-A2,13,56,4,14,92,5,4,15,2
1,2,01-A2,7,14,3,11,35,4,4,15,2
1,2,01-A2,4,3,1,5,28,2,4,15,2
1,2,01-A2,1,20,3,3,21,3,4,15,2
1,2,01-A2,5,4,1,5,23,3,3,10,2
1,2,01-A2,37,94,5,53,217,8,3,10,2
1,2,01-A2,9,20,3,12,48,4,4,15,2
1,2,01-A2,7,15,3,9,44,4,4,15,2
1,2,01-A2,1,1,1,7,21,3,4,15,2
1,2,01-A2,13,22,2,15,41,4,4,15,2
1,2,01-A2,10,15,2,13,15,3,3,10,2
1,2,01-A2,19,76,6,26,233,9,4,15,2
1,2,01-A2,8,14,3,11,48,5,4,15,2
1,2,01-A2,12,14,2,15,39,4,3,10,2
1,2,01-A2,2,3,1,7,20,3,3,10,2
1,2,01-A2,10,14,2,6,23,3,3,10,2
1,2,01-A2,8,17,3,13,65,5,4,15,2
1,2,01-A2,0,1,1,3,13,2,4,15,2
1,2,01-A2,10,19,3,11,35,3,3,10,2
1,2,01-A2,7,6,2,9,8,2,4,15,2
1,2,01-A2,6,27,3,8,47,4,4,15,2
1,2,01-A2,1,1,1,14,29,3,3,10,2
1,2,01-A2,3,3,1,4,11,2,3,10,2
1,2,01-A2,4,20,3,5,23,3,4,15,2
1,2,01-A2,17,55,4,21,86,5,4,15,2
1,2,01-A2,8,65,5,10,86,6,4,15,2
1,2,01-A2,5,24,3,11,47,4,4,15,2
1,2,01-A2,3,3,1,5,11,2,4,15,2
1,2,01-A2,5,1,1,7,10,2,3,10,2
1,2,01-A2,8,25,4,10,54,4,4,15,2
1,2,01-A2,12,15,3,17,117,7,4,15,2
1,2,01-A2,4,6,2,5,8,2,4,15,2
1,2,01-A2,4,39,4,7,81,5,4,15,2
1,2,01-A2,6,9,2,10,86,6,3,10,2
1,2,01-A2,5,12,2,8,41,4,3,10,2
1,2,01-A2,9,5,1,10,19,2,4,15,2
1,2,01-A2,6,11,2,7,54,4,4,15,2
1,2,01-A2,9,11,3,10,24,3,3,10,2
1,2,01-A2,2,31,3,4,47,3,4,15,2
1,2,01-A2,6,6,2,7,25,3,4,15,2
1,2,01-A2,7,8,2,10,7,2,4,15,2
1,2,01-A2,6,16,3,20,96,6,3,10,2
1,2,01-A2,9,60,4,12,98,6,4,15,2
1,2,01-A2,4,10,2,6,40,4,4,15,2
1,2,01-A2,5,27,3,12,90,6,3,10,2
1,2,01-A2,6,9,2,6,8,2,4,15,2
1,2,01-A2,12,30,3,15,77,6,4,15,2
1,2,01-A2,16,29,3,16,60,5,3,10,2
1,2,01-A2,4,2,1,5,19,2,4,15,2
1,2,01-A2,8,23,3,12,58,5,4,15,2
1,2,01-A2,8,57,4,12,89,5,4,15,2
1,2,01-A2,4,22,2,5,11,2,3,10,2
1,2,01-A2,9,36,4,15,70,4,3,10,2
1,2,01-A2,8,92,5,12,164,7,4,15,2
1,2,01-A2,6,36,3,11,46,2,4,15,2
1,2,01-A2,10,13,2,15,41,4,3,10,2
1,2,01-A2,5,28,3,5,25,2,4,15,2
1,2,01-A2,10,18,2,14,28,3,3,10,2
1,2,01-A2,2,11,2,2,25,3,4,15,2
1,2,01-A2,6,34,4,9,82,6,4,15,2
1,2,01-A2,10,39,4,11,52,5,3,10,2
1,2,01-A2,3,11,2,10,73,6,4,15,2
1,2,01-A2,6,6,1,6,7,2,3,10,2
1,2,01-A2,0,0,0,2,6,2,4,15,2
1,2,01-A2,12,32,4,16,58,5,4,15,2
2,2,01-A2,2,11,2,6,32,3,4,15,2
2,2,01-A2,5,11,2,7,13,2,3,10,2
2,2,01-A2,3,7,2,11,42,5,4,15,2
2,2,01-A2,3,10,2,6,24,4,3,10,2
2,2,01-A2,5,16,2,7,20,3,4,15,2
2,2,01-A2,2,14,2,5,22,3,4,15,2
2,2,01-A2,19,16,3,19,14,2,4,15,2
2,2,01-A2,5,14,3,7,13,2,3,10,2
2,2,01-A2,3,9,2,6,16,2,3,10,2
2,2,01-A2,4,5,1,6,17,3,3,10,2
2,2,01-A2,4,13,2,5,13,2,4,15,2
2,2,01-A2,11,31,3,10,33,4,3,10,2
2,2,01-A2,9,3,1,19,41,4,3,10,2
2,2,01-A2,2,3,1,5,12,3,4,15,2
2,2,01-A2,1,6,2,5,15,2,4,15,2
2,2,01-A2,3,5,1,6,472,3,4,15,2
2,2,01-A2,4,49,3,6,40,3,4,15,2
2,2,01-A2,1,4,1,7,29,3,3,10,2
