session,level,subject,articles,citations,hindex,real_articles,real_citations,real_hindex,threshold_articles,threshold_citations,threshold_hindex
1,1,01-A1,12,336,10,30,521,12,9,48,4
1,1,01-A1,0,195,7,17,180,7,9,48,4
1,1,01-A1,0,289,10,16,347,12,9,48,4
1,1,01-A1,0,194,9,18,477,12,9,48,4
1,1,01-A1,0,111,5,28,177,8,9,48,4
1,1,01-A1,0,136,7,20,245,8,9,48,4
1,1,01-A1,0,104,6,16,173,8,9,48,4
1,1,01-A1,0,36,4,13,222,9,9,48,4
1,1,01-A1,3,20,3,13,36,4,9,48,4
1,1,01-A1,9,3,1,23,95,5,9,48,4
1,1,01-A1,22,102,6,34,351,11,9,48,4
1,1,01-A1,13,25,3,16,84,6,9,48,4
1,1,01-A1,3,248,10,3,587,14,9,48,4
1,1,01-A1,17,40,4,22,106,7,9,48,4
1,1,01-A1,15,186,8,20,315,10,9,48,4
1,1,01-A1,11,43,4,15,105,7,9,48,4
1,1,01-A1,21,61,5,29,96,6,9,48,4
2,1,01-A1,4,0,0,6,48,4,9,48,4
2,1,01-A1,10,69,4,9,86,4,2,2,1
2,1,01-A1,3,61,3,4,40,2,2,2,1
2,1,01-A1,12,24,3,14,52,5,9,48,4
2,1,01-A1,5,2,1,10,19,3,2,2,1
2,1,01-A1,1,20,1,6,97,4,2,2,1
2,1,01-A1,3,3,1,7,27,3,2,2,1
3,1,01-A1,17,1,1,22,129,8,9,48,4
3,1,01-A1,2,11,2,6,28,4,2,2,1
3,1,01-A1,4,25,3,3,26,3,2,2,1
3,1,01-A1,5,28,4,8,41,4,2,2,1
3,1,01-A1,3,0,0,5,5,1,2,2,1
4,1,01-A1,4,35,3,18,244,9,9,48,4
4,1,01-A1,8,61,5,11,221,10,9,48,4
4,1,01-A1,0,1,1,5,7,2,2,2,1
4,1,01-A1,6,88,4,10,155,7,2,2,1
5,1,01-A1,4,82,3,5,55,2,2,2,1
5,1,01-A1,11,174,7,9,112,7,9,48,4
5,1,01-A1,2,11,2,9,19,3,2,2,1
5,1,01-A1,5,11,2,8,27,3,2,2,1
5,1,01-A1,18,267,10,24,1026,16,9,48,4
5,1,01-A1,0,18,3,16,69,5,2,2,1
5,1,01-A1,11,16,3,21,70,5,9,48,4
5,1,01-A1,9,50,4,10,94,6,9,48,4
5,1,01-A1,8,5,1,7,9,2,2,2,1
5,1,01-A1,12,70,5,12,111,7,9,48,4
5,1,01-A1,1,37,3,2,62,4,2,2,1
5,1,01-A1,14,20,3,17,44,4,9,48,4
5,1,01-A1,9,22,3,13,50,4,9,48,4
1,1,01-A2,14,57,4,15,101,5,8,29,4
1,1,01-A2,9,17,2,15,51,4,8,29,4
1,1,01-A2,0,11,2,15,163,8,8,29,4
1,1,01-A2,10,117,6,13,166,6,8,29,4
1,1,01-A2,23,219,8,25,423,12,8,29,4
1,1,01-A2,27,83,5,71,221,8,8,29,4
1,1,01-A2,12,55,5,17,163,8,8,29,4
1,1,01-A2,13,104,5,12,107,5,8,29,4
1,1,01-A2,18,103,5,22,139,6,8,29,4
1,1,01-A2,12,34,3,13,67,4,8,29,4
1,1,01-A2,14,78,4,20,159,7,8,29,4
1,1,01-A2,16,43,4,19,55,4,8,29,4
1,1,01-A2,18,24,3,20,70,5,8,29,4
1,1,01-A2,6,15,3,19,177,9,8,29,4
1,1,01-A2,32,59,5,40,264,9,8,29,4
1,1,01-A2,14,43,4,18,110,7,8,29,4
1,1,01-A2,3,81,4,6,77,4,8,29,4
1,1,01-A2,2,0,0,16,72,6,8,29,4
1,1,01-A2,4,21,2,8,49,5,8,29,4
1,1,01-A2,6,40,4,8,87,7,8,29,4
1,1,01-A2,19,55,4,22,86,5,8,29,4
1,1,01-A2,12,80,5,22,122,7,8,29,4
1,1,01-A2,60,210,7,75,492,11,8,29,4
1,1,01-A2,4,27,2,8,100,6,8,29,4
1,1,01-A2,15,31,3,18,69,4,8,29,4
1,1,01-A2,2,4,1,22,43,4,8,29,4
1,1,01-A2,8,49,4,17,141,6,8,29,4
1,1,01-A2,10,11,2,15,63,4,8,29,4
1,1,01-A2,5,20,2,10,127,6,8,29,4
1,1,01-A2,3,27,3,6,67,4,8,29,4
1,1,01-A2,8,24,4,11,69,5,8,29,4
1,1,01-A2,12,18,3,17,68,4,8,29,4
